연번,용어명,용어설명,유사용어
151,금속광석,"광산에서 채광되어 나온 광석을 원광이라 하는데, 여기에는 두가지가 있다. 즉, 광석 중에 함유되어 있는 유용 성분을 제련하여 금속을 추출하고자 하는 것을 금속 광석이라 한다. 그리고 광물을 그대로 또는 선별하여 공업 목적으로 이용하는 것을 비금속 광석이라고 한다.",金屬鑛石
152,금속채취,침출액 혹은 정액된 용액으로부터 환원에 의해서 목적 금속을 화학적으로 채취하는 조작을 말한다.,metal recovery
153,급광,선광 계통에 있어서 선광을 받기 위해서 기계로 공급되는 광석을 말한다.,feed
154,기계배수,"하천보다 낮은 곳에 있는 갱도에서는 갱내수를 갱 안의 일정한 장소에 모아 펌프로써 갱 밖으로 배출시켜야 하며, 이와 같이 기계력을 이용하여 배수시키는 것을 말한다.",機械背水
155,기계분급기,"분급하고자 하는 광액을 경사진 밑바닥면을 가진 긴 분급통에 연속적으로 넣어서, 굵고 무거운 광립을 분급통의 밑바닥에 가라앉히고, 입도가 작은 가벼운 광립은 물과 함께 넘쳐 흘러 나가도록 설계되어 있다. 가라앉은 광사는 기계 장치로 연속적으로 긁어 올려 분쇄를 위하여 마광기에 다시 급광한다.",
156,기계통기법,"갱내의 통기방법 중 하나로서 작업장소가 깊어지고, 갱내 규모가 커지면 자연 통기법으로는 통기시킬 수 없게되므로 기계력, 즉 선풍기를 달아서 갱내 공기를 뽑아 내도록 한다. 갱도 내에 공기가 흐를 때 여러 가지 원인으로 마찰이 생기게 되고, 이로 인하여 압력 강하가 생기게 된다. 갱내 통기의 경우, 이 압력 강하는 부압으로 표시하고, 단위는 수주로 표시하게 된다. 이 부압이 크면 클수록 선풍기의 용량이 큰 것을 설치해야 하므로, 갱 안에 공기가 흐를 때 될 수 있는 대로 마찰이 적도록 할 필요가 있다. 선풍기의 종류는 원심형 선풍기와 프로펠러형 선풍기가 있으나 주로 원심형 선풍기가 많이 사용되고, 다음과 같은 세가지 법칙을 가지고 있다. (가) 통기량은 선풍기의 회전수에 비례한다. (나) 선풍기에 생기는 부압은 회전수의 제곱에 비례한다. (다) 선풍기의 동력은 회전수의 세제곱에 비례한다.",機械通氣法
157,기시루우니,비저항법에 사용되는 기기로서 직류형 비저항기의 한 유형이다.,Gish Rooney
158,기초조사,광물의 부존 유무를 확인하기 위한 최초단계의 조사로 유용광물의 부존 여부 및 개략적인 품위 등을 파악하는 것을 말한다.,基礎調査
159,기포제,부유 선광법에서는 물 속에 작은 기포를 많이 만들어야 한다. 이때 사용하는 것이 기포제이다. 기포제는 물에 극소량 용해하여 물의 표면 장력을 낮추어 줌으로써 기포의 발생을 쉽게 해 주는 것으로 대부분 유기물질이다. 부기로서 파인유와 MIBC가 기포제로 많이 사용된다.,
160,기폭약,"폭발 감도가 대단히 높은 물질로서, 작은 충격이나 열에 의하여 쉽게 폭발하는 화약류를 말한다. 한 예로서, 다이너마이트 등과 같이 폭발 감도가 낮은 공업용 폭약을 폭발시키기 위해서는 기폭약이 들어 있는 뇌관을 사용하여야 한다. 기폭약에는 풀민산수은(Ⅱ)(뇌홍), 아지화납, 디아조디니트로페놀, 트리시네이트, 테트라센 등이 있다.",起爆藥
161,기폭제,"화약류의 감도가 낮아 폭발하기 어려운 화역류를 폭발시킬 때 사용하는데, 기폭제에는 감도가 높은 뇌홍과 아지화납, 디아조니트로페놀 등이 있고, 공업용 뇌관의 제조에 사용된다.",起爆製
162,나사식급광기,나사수송기의 축소형이다.,screw feeder
163,나선형분급기,"반원통형의 탱크를 비스듬히 설치하고 그 안에 광액을 급광하여 분급하는 것으로, 레이크 분급기의 레이크 역할을 비본 모양의 나선형으로 하게 되어 있다. 통 밑바닥에 침적된 굵은 입자는 나선이 회전하여 위로 밀어 올려져 상단에서 배출되는데, 이 나선은 축에 가까운 중심부 쪽이 비어 있기 때문에 물이 잘 빠지며, 나선 리본이 레이크 분급기의 레이크와 비슷한 역할을 하여 분급의 효과가 크다.",spiral classifier
164,낙반,"갱도 ·막장 등에서 천장의 암반 부분인 천반(天盤)의 암석이 떨어지는 현상. 작은 규모의 것은 낙석(落石) 또는 낙탄(落炭)이라 하고, 갱내공간의 주벽이 낙하하는 것을 붕락(崩落)이라고 하는데, 이것들을 총칭하여 낙반이라고 한다. 광산재해 중에서 낙반에 의한 재해는 가스 ·탄진폭발 ·출수재해 등에 비하면 규모는 작은 편이다. 낙반재해는 금속광산에 비해서 탄광의 경우가 많은데, 이것은 암석층이 약하여 붕괴되기 쉽기 때문이다. 탄광 중에서도 낙반재해가 가장 많이 발생하는 곳은 채탄막장이고, 다음이 갱도굴진 또는 갱도보수작업시에 발생한다. 채탄작업장에서는 작업중에 천반을 받치고 있는 지주재(支柱材)의 붕괴 또는 파손에 의한 낙반, 지주와 지주 사이의 공간에서의 낙석 등이 많다. 굴진작업장에서는 지보(支保) 준비중의 붕괴, 지보 파손에 의한 낙반, 축벽 붕괴, 무지보에 의한 천반붕락 등이 많다. 낙반재해의 직접적인 원인은 적절한 지주의 결여, 지보 불충분 또는 지주보수 불량, 지보작업 방법과 순서의 잘못, 지보 ·천",
165,낙반재해,"막장에서 지주를 하지 않은 채 작업을 하거나 발파 후 부석 처리를 잘못하였을 때 일어나게 되며, 그밖에 위험한 갱도의 지보를 보수하지 않을 경우 붕락되어 사고를 내게 된다.",落磐災害
166,난동다이너마이트,니트로글리세린의 10%를 니트로글리콜로 치환하면 -1.0℃이상의 기후에서 사용할 수 있는 것을 말함.,
167,납기둥시험,"높이와 지름이 각각 200㎜인 납기둥의 중심에 지름 25㎜, 깊이 125㎜(부피 61㎖)의 구멍을 뚫고, 여기에 10g의 폭약을 넣는다. 시료 폭약의 지름이 24.5㎜가 되도록 성형하여 주석 종이로 싸고, 8호 뇌관을 끼원 도화선을 연결한다. 그 다음, 구멍을 모래로 메우고 폭발시킨다. 폭발한 다음에는 납기둥을 거꾸로 세워 모래를 없애고, 바로 세워 냉각한다. 냉각이 끝나면 물을 사용하여 확대된 부피가 얼마인지를 측정한다. 폭발한 후 납기둥 부피에서 구멍의 처음 부피를 빼면 확대된 부피가 나온다.",
168,납석,"일명 엽랍석이라고도 하며, 고온에 견디는 성질, 즉 내화도가 높기 때문에 납석 소비의 대부분은 내화 벽돌 제조나 요업 재료로 이용된다. 납석은 연질 광물로서, 쉽게 분쇄되는 성질이 있기 때문에 살충제의 분산 충전제로도 이용된다. 엽랍석은 전라 남도와 경상 남도 지방에 많이 부존되어 있는데. 총 매장량은 약 5천만톤으로 추정된다. 1980년 우리 나라의 납석 총 생산량은 약 54만 톤이었으며, 이 중 약 30만톤은 수출하였고, 국내 수요는 대부분 내화 재료로 소비되었다. 우리나라는 노화도(전남 완도군)의 납석광산이 유명하다.","蠟石, Pyrophyllite"
169,납판시험,"납판 위에 뇌관을 설치하여 점화시킨다. 이 때, 납판 위에 생긴 폭발 흔적과 구멍이 뚫린 형태를 조사하여 뇌관의 위력을 시험한다. 뇌관이 폭발할 때 생기는 폭발 흔적은 뇌관의 위치와 수직 방향의 위력을 나타내며, 천공 형태는 뇌관과 수평 방향의 위력을 나타낸다.",
170,내화감도,"화약의 감도란, 외부로부터 가해지는 힘에 대한 화약의 반응성, 즉 화약류가 외부의 힘에 의하여 폭발하는 성질로서, 화약의 사용, 취급 및 안전도와 깊은 관계가 있다.",耐火感度
171,노두,지층이나 광상(鑛床) 따위가 지표에 노출되어 있는곳. 탐광(探鑛)을 하는 데 중요한 실마리가 된다.,"露頭, Out crop"
172,노르웨이 커터,"천공수가 많으므로 굳음 암석에 적합하며, 1대의 착암기로 다수의 천공을 해야 한다.","Norway cut,노르웨이 심빼기"
173,노이만효과,"원뿔 또는 반구형의 금속 라이너(liner)에 폭약을 넣고 폭파시키면, 라이너가 파괴되면서 금속 미립자 무리를 형성하여 거센 흐름(jet)을 형성한다. 이것을 노이만 효과(Neumann effect)라 하며, 미국에서는 먼로 효과(Munro effect)라고도 한다.",Neumann effect
174,노천발파,"큰 암체의 모양에 따라 발파공의 위치와 방향 및 자유면의 수를 정하고, 특히 지질학적으로 층리와 절 리가 포함된 경우에는 장약 방법과 천공 위치를 잘 선택하여야 한다. 최근에는 석재산업이 활발해짐에 따라 큰 암체에서 암질의 손상없이 다량의 석재를 얻을 수 있도록 하는 경제적인 발파 방법이 필요하게 되었다.",露天發破
175,노천채굴법,"광상이 지표에 노출되어 있거나 지표에서 그다지 깊지 않은 곳에 부존되어 있을 때, 지표의 표토를 제거한 다음 지표에서 직접 채굴하는 방법을 노천 채굴법이라 한다. 외국의 경우, 석탄이나 철광산을 이 노천 채굴법에 의하여 채굴하는 곳도 많으나, 우리 나라에서는 석회석 광산이나 규석 광산등에서만 이 채굴법이 채택되고 있다. 이 채굴법은 채굴비가 싸고 작업이 안전하며, 많은 생산량을 낼 수 있는 등의 장점이 있으나, 기후와 일기의 영향을 많이 받고, 심도의 제한을 받는 점이 단점이다. 이 노천 채굴법에는 채굴된 광석의 적재 방법에 따라 계단 채굴법, 경사 채굴법, 노천 갱정법 등이 있으나, 우리 나라에서는 거의 계단 채굴법을 적용하고 있다. 이 계단 채굴법은 큰 광체에 높이 15m, 폭 2m정도의 계단을 여러 개 만들어, 이 계단에서 수직으로 장공을 뚫어 발파하여 파쇄된 광석을 기계력으로 적재, 운반하게 되어 있다.",
176,녹암통,"고생대 석탄기 중엽부터 중생대 초기 트라이아스기에 이르는 동안 한반도에 퇴적된 두꺼운 퇴적층인 평안계(平安系) 최상부에 놓인 지층. 그 분포는 하부 평안계층과 거의 동일하나 영월탄전(寧越炭田) 지역에는 발달되지 않았고 정선 지역에 특히 두껍게 발달되어 있다. 이 통(統)은 구성암석이 주로 녹색을 띠기 때문에 녹암통이라고 한다. 녹색 및 녹갈색 알코즈사암(砂岩), 녹색 및 갈색 사질셰일과 역암(礫岩)이 우세하고, 암록색 셰일이 엷게 층층이 협재(夾在)한다. 대체로 녹암통 하부에는 사암이 많고, 중부에는 사암과 역암이 호층(互層)을 이루며, 상부는 사질셰일과 사암의 호층으로 되어 있다. 녹암층 중에서는 화석(化石)이 거의 나오지 않으며, 육성층(陸成層)으로 보통 석탄층이 발달되지 않았고, 층두께는 평균 500m를 넘는다. 이 층 중에서 삼척 탄전지대에 발달한 것을 동고층(東古層:鄭昌熙, 1969)이라 하고, 황지(黃池) 부근에 발달한 층을 황지층군이라고 하자는 의견(孫致武, 1971)도 있다.",綠岩統
177,농축,묽은 광액으로부터 수분을 제거하여 50-65% 정도의 고체를 포함하는 광액을 만드는 작업.,濃縮
178,농축기,"묽은 광액에서 대부분의 물을 고체 입자의 침강에 의하여 분리, 제거하는 것을 농축이라 하며, 이 목적을 위하여 만들어진 침강 장치를 농축기라 한다.",濃縮機
179,뇌관,"폭약을 기폭시키는 화공품으로서 공업 뇌관, 전기 뇌관, 총포 뇌관 등이 있다. (가) 공업 뇌관 뇌관 몸체를 구리로 만든 것과 알루미늄으로 만든 것 등이 있으며, 뇌홍(풀민산수은)뇌관, 혼성 뇌관, 아지화납 뇌관 및 디아조디니트로페놀 뇌관 등이 있다. (나) 전기 뇌관 공업 뇌관의 윗부분에 전기적 점화 장치를 한 것이다. 이 뇌관에는 폭발 지연 장치가 없는 순발 전기 뇌관과 폭발 지연 장치가 있는 지발 전기 뇌관이 있으며, 백열 전기 뇌관과 백열 유극 전기 뇌관이 있다. (다) 총포 뇌관 수렵용이나 스포츠용 총의 발사약을 점화시키는 데 사용되는 뇌관을 말한다.",雷管
